Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,12,2018,22,F,true,JSM,JANUARY,2025,Lecture 9
1,US,12,2018,22,F,true,PYM,DECEMBER,2020,Lecture 11
2,US,10,2017,46,F,true,JSM,JULY,2018,Lecture 11
2,US,10,2017,46,F,true,PYM,MAY,2018,Lecture 6
3,GB,5,2015,68,M,true,JSM,FEBRUARY,2020,Lecture 14
3,GB,5,2015,68,M,true,PYM,APRIL,2022,Lecture 4
4,CN,10,2022,22,U,true,JSM,FEBRUARY,2022,Lecture 5
4,CN,10,2022,22,U,true,PYM,NOVEMBER,2022,Lecture 14
5,IN,11,2018,42,F,true,JSM,DECEMBER,2021,Lecture 5
5,IN,11,2018,42,F,true,PYM,MAY,2019,Lecture 12
6,AU,9,2020,63,M,true,JSM,NOVEMBER,2020,Lecture 2
6,AU,9,2020,63,M,true,PYM,DECEMBER,2024,Lecture 1
7,IN,4,2017,67,M,false,JSM,APRIL,2017,Lecture 4
7,IN,4,2017,67,M,false,PYM,MARCH,2022,Lecture 8
8,IN,12,2025,45,F,false,JSM,NOVEMBER,2025,Lecture 14
8,IN,12,2025,45,F,false,PYM,APRIL,2025,Lecture 10
9,US,7,2024,52,U,true,JSM,FEBRUARY,2025,Lecture 12
9,US,7,2024,52,U,true,PYM,APRIL,2025,Lecture 5
10,GB,3,2023,50,M,false,JSM,FEBRUARY,2023,Lecture 13
10,GB,3,2023,50,M,false,PYM,FEBRUARY,2025,Lecture 11
11,IN,6,2022,65,U,true,JSM,MARCH,2024,Lecture 1
11,IN,6,2022,65,U,true,PYM,OCTOBER,2024,Lecture 7
12,AU,9,2025,25,U,true,JSM,JULY,2025,Lecture 10
12,AU,9,2025,25,U,true,PYM,JANUARY,2025,Lecture 4
13,IN,5,2019,62,M,true,JSM,SEPTEMBER,2025,Lecture 3
13,IN,5,2019,62,M,true,PYM,JUNE,2020,Lecture 9
14,AU,10,2020,34,M,true,JSM,APRIL,2024,Lecture 3
14,AU,10,2020,34,M,true,PYM,JUNE,2021,Lecture 11
15,GB,9,2015,31,F,true,JSM,JUNE,2016,Lecture 10
15,GB,9,2015,31,F,true,PYM,JANUARY,2016,Lecture 8
16,GB,12,2021,62,M,false,JSM,DECEMBER,2023,Lecture 8
16,GB,12,2021,62,M,false,PYM,FEBRUARY,2025,Lecture 11
17,AU,9,2023,72,M,false,JSM,MARCH,2024,Lecture 3
17,AU,9,2023,72,M,false,PYM,JUNE,2023,Lecture 7
18,CN,4,2019,59,U,true,JSM,JANUARY,2019,Lecture 3
18,CN,4,2019,59,U,true,PYM,JULY,2021,Lecture 4
19,AU,3,2025,84,U,true,JSM,JULY,2025,Lecture 2
19,AU,3,2025,84,U,true,PYM,JULY,2025,Lecture 9
20,CN,1,2017,40,F,true,JSM,NOVEMBER,2019,Lecture 7
20,CN,1,2017,40,F,true,PYM,MARCH,2023,Lecture 4
21,US,7,2025,57,U,false,JSM,AUGUST,2025,Lecture 3
21,US,7,2025,57,U,false,PYM,MAY,2025,Lecture 12
22,US,11,2020,74,M,false,JSM,DECEMBER,2022,Lecture 8
22,US,11,2020,74,M,false,PYM,JANUARY,2023,Lecture 4
23,US,2,2021,80,M,true,JSM,MARCH,2021,Lecture 4
23,US,2,2021,80,M,true,PYM,FEBRUARY,2025,Lecture 8
24,IN,6,2024,88,M,false,JSM,DECEMBER,2024,Lecture 7
24,IN,6,2024,88,M,false,PYM,OCTOBER,2024,Lecture 4
25,CN,8,2021,50,F,false,JSM,AUGUST,2024,Lecture 12
25,CN,8,2021,50,F,false,PYM,OCTOBER,2022,Lecture 9
